customer_id,name,email,loyalty_points,join_date
1de2620e-d24e-4dd7-b1c0-4353ed5f13cd,Heather Hill,cynthia33@gmail.com,5957,2024-06-20
e8bd3c59-975b-47fa-b811-1087ffb99726,Jennifer Osborne,doylemichael@yahoo.com,7133,2024-02-14
f275181a-d79a-40e5-be25-c8eed2a56d08,Charles Maddox,eortega@gmail.com,9618,2024-07-23
2fae2577-e2d8-4774-ab4b-4780d1dd73b6,Paul Davis,theresa31@hotmail.com,9541,2024-03-11
09cbc36a-3504-43da-a0fd-0fcedcb94b0a,Jeremy Stephens,mcbridevirginia@brown.info,7604,2024-04-10
61071058-7791-4ab2-8fd4-aa62c866fa42,Edward Evans,gsmith@hotmail.com,9205,2024-06-24
704b65b6-cbd1-4997-967c-65e57a686105,Jesse Dickerson,kknight@gmail.com,3246,2024-05-19
ccf94bb1-060d-4571-b27d-4cffc2adbd4e,Heather Campbell,bruce48@mitchell.com,6838,2024-06-27
71a67589-e2ae-4340-8223-8b5d5482ea95,Daniel Young PhD,johnsonluke@hotmail.com,8766,2024-01-18
4756fecd-5343-4b32-981b-189f3100f3a4,Jesse Powers,jacob77@brown.net,218,2024-02-28
e32dbd24-6a1c-481e-b0b2-408fd2ae6867,Bryan Hall,crystalbrown@hotmail.com,8237,2024-01-27
8e039bca-1a26-4d14-9261-d261131ab804,Dr. Angela Campbell,gina52@moore-myers.biz,5152,2024-03-02
9fc7e111-76e8-4bbe-bf78-46d72293c060,Jason Wilson,bcummings@hotmail.com,2158,2024-01-08
c8358328-eb5f-4393-af29-e0b59c02ee4f,Molly Mccarthy,marisapeters@gmail.com,4912,2024-04-24
f769ed16-1e57-4d29-bcff-1af783c28389,Colleen Davidson,allisoncoffey@charles-mitchell.biz,4270,2024-07-06
afb95bc9-4bba-4eb7-9a50-3da9c73a4d30,Deborah Edwards,wgutierrez@hotmail.com,1151,2024-04-20
44b26a9e-440e-405f-825e-1cde7253e49e,Mackenzie Robles,nicholasanderson@walker.com,5776,2024-04-11
4e21e823-9b32-4d5e-8498-05be9d8a35cc,Erin Elliott,mary24@graham.org,2670,2024-01-04
